WKT,Drawings
"MULTIPOLYGON (((123.891735889166 10.41117012217,123.894597363814 10.4099464832171,123.894721775755 10.4099464832171,123.896836778756 10.4100688473284,123.899947077286 10.4098241190577,123.901191196699 10.4092122975408,123.900817960875 10.408111015786,123.899200605639 10.4083557454009,123.897956486227 10.4083557454009,123.896836778756 10.408111015786,123.896836778756 10.408111015786,123.896463542932 10.4074991909088,123.894846187697 10.4065202686094,123.893353244402 10.4052966114157,123.892606772755 10.4043176822055,123.891735889166 10.4029716495272,123.890865005578 10.4016256110434,123.889372062283 10.4000348308061,123.888252354812 10.3979545674954,123.885515292105 10.3944058510386,123.883649112987 10.3926926631457,123.882280581634 10.3915913231104,123.881036462222 10.3896333756845,123.878548223397 10.387308297183,123.875686748749 10.3881649070644,123.875686748749 10.390489979193,123.876682044279 10.3920808080499,123.875811160691 10.3926926631457,123.873074097984 10.3926926631457,123.87270086216 10.3939163697423,123.873820569631 10.3959966599542,123.875811160691 10.3980769363091,123.879419106986 10.3985664110844,123.881285286104 10.3986887796584,123.883649112987 10.3995453583329,123.885390880164 10.4006466703183,123.887630295106 10.4026045486982,123.888874414518 10.4043176822055,123.889745298107 10.4074991909088,123.891735889166 10.41117012217)))",Pink area
"MULTIPOLYGON (((123.909775620642 10.4028492826322,123.909775620642 10.3977098297241,123.910273268407 10.3935492582666,123.911766211702 10.391836065676,123.911766211702 10.3864516849541,123.90853150123 10.3808224604893,123.908282677348 10.376172155163,123.909029148995 10.3710322636081,123.908282677348 10.3644237076186,123.908282677348 10.3619760589061,123.906043262406 10.3605074605011,123.900071489228 10.3614865268691,123.896587954874 10.3634446504282,123.893602068284 10.3663818128199,123.891860301107 10.3698084674652,123.894348539932 10.3710322636081,123.898329722051 10.372500812665,123.898329722051 10.3764169097981,123.894099716049 10.3773959264242,123.89111382946 10.3773959264242,123.886634999576 10.3786196928989,123.888127942871 10.3840042085088,123.890865005578 10.3886543973711,123.89310442052 10.3933045170432,123.895095011579 10.3979545674954,123.894348539932 10.3994229900947,123.895592659344 10.3962413990682,123.896339130991 10.3925702922224,123.896587954874 10.3891438869112,123.897583250403 10.3852279491265,123.900817960875 10.3849832013861,123.900071489228 10.3896333756845,123.900569136992 10.391836065676,123.901066784757 10.393059775628,123.909775620642 10.4028492826322)))",Pink area
"MULTIPOLYGON (((123.959042749364 10.4623139288139,123.951578032891 10.4654948444924,123.944859788065 10.4664735812159,123.941376253711 10.4679416805101,123.933165065591 10.4701438164196,123.930428002884 10.4716118983367,123.929930355119 10.4752820727102,123.933911537238 10.4772394812702,123.938888014887 10.4743033637935,123.940629782064 10.473324651786,123.942620373123 10.4762607785359,123.94535743583 10.4806649164925,123.951329209008 10.4818882770343,123.956305686657 10.4791968774639,123.957052158304 10.4760161023693,123.957052158304 10.473324651786,123.959291573246 10.4716118983367,123.963521579247 10.4725906157523,123.966258641954 10.4730799733013,123.967751585249 10.4694097728542,123.967751585249 10.4676969977771,123.967751585249 10.4662288973246,123.968498056896 10.4645161046805,123.968498056896 10.4642714192451,123.959042749364 10.4623139288139)))",Pink area
"MULTIPOLYGON (((123.98840396749 10.4444512584162,123.985666904783 10.450324030535,123.985666904783 10.4535050690802,123.983427489842 10.457175457681,123.978699836075 10.4613351789671,123.977953364428 10.4630479891729,123.976709245016 10.4657395289628,123.975216301721 10.4689204095118,123.973474534544 10.473324651786,123.978451012193 10.4728352946234,123.981436898782 10.4725906157523,123.984173961489 10.4745480413124,123.985169257019 10.4779735062922,123.984671609254 10.4818882770343,123.982681018194 10.4853136608402,123.982183370429 10.4897176700423,123.984920433136 10.4946109400905,123.989150439138 10.5007274187862,123.995122212316 10.5039079398838,123.994873388433 10.4968128863586,123.993629269021 10.4894730045084,123.994126916786 10.4845796532148,123.994873388433 10.4777288314781,123.994873388433 10.4747927186382,123.994873388433 10.4708778582472,123.994873388433 10.4654948444924,123.994873388433 10.460845802886,123.994873388433 10.4579095301941,123.994873388433 10.4554626150668,123.994375740669 10.4530156806554,123.994126916786 10.4527709861538,123.98840396749 10.4444512584162)))",Pink area
"MULTIPOLYGON (((123.884146760752 10.4843349836196,123.877428515927 10.4772394812702,123.877179692044 10.4767501302895,123.871954390513 10.4725906157523,123.869466151689 10.4667182649142,123.866729088982 10.4642714192451,123.856527309802 10.459622359307,123.853541423213 10.4564413834321,123.851550832154 10.4544838436161,123.848813769447 10.4498346370981,123.844334939563 10.4437171540979,123.838611990267 10.4385783753331,123.834630808149 10.4366207229903,123.837616694738 10.4407807194891,123.841100229092 10.4451853610006,123.843339644034 10.4495899400906,123.844832587328 10.4552179224934,123.846574354505 10.461090491023,123.849311417212 10.4659842132402,123.853541423213 10.4706331778311,123.856527309802 10.4747927186382,123.860259668039 10.4791968774639,123.870212623336 10.4826222910398,123.877677339809 10.4845796532148,123.88190734581 10.4848243226166,123.884146760752 10.4843349836196)))",Pink area
"MULTIPOLYGON (((123.819328139379 10.3267277996453,123.821567554321 10.3291757232579,123.821691966262 10.32905332753,123.822811673733 10.3273397823352,123.82355814538 10.3258710218784,123.823931381204 10.3245246521,123.824304617028 10.3219542937918,123.824304617028 10.3203631090763,123.82455344091 10.3196287134166,123.826792855852 10.31571190762,123.827166091676 10.3147326985551,123.828410211088 10.3128966733495,123.829156682735 10.3128966733495,123.830774037971 10.3139982897577,123.835004043972 10.3162015110102,123.834381984266 10.3131414773288,123.833262276795 10.3117950530872,123.831769333501 10.3105710260537,123.8296543305 10.3086125729056,123.828036975264 10.3062868939778,123.825051088675 10.3056748703541,123.824677852851 10.3064092985599,123.825175500616 10.3093469942632,123.824926676734 10.3124070648198,123.823433733439 10.31571190762,123.821691966262 10.3154671056393,123.819950199085 10.3146102972078,123.81733754832 10.3119174555288,123.815222545319 10.3115502480611,123.815471369202 10.3137534864445,123.817959608026 10.3158343085389,123.819701375203 10.3201183107135,123.819576963262 10.3241574593419,123.819328139379 10.3267277996453)))",Pink area
"MULTIPOLYGON (((123.747666861239 10.4939992855672,123.747666861239 10.4930206358143,123.744929798533 10.4884943404386,123.738584789531 10.4856806640003,123.735350079059 10.4829892973901,123.731866544705 10.4810319251625,123.728383010351 10.4807872527641,123.72626800735 10.4818882770344,123.727885362586 10.4845796532148,123.730000365587 10.4860476667253,123.734728019353 10.4867816708699,123.736096550706 10.4872710059995,123.738709201472 10.4886166736166,123.739082437296 10.4900846679803,123.740824204473 10.4909409948098,123.743312443297 10.4917973192693,123.744432150768 10.4930206358143,123.742690383591 10.4943662784263,123.739082437296 10.4949779322239,123.735723314883 10.4931429672027,123.732861840235 10.4905739978874,123.730622425293 10.4900846679803,123.727636538704 10.4900846679803,123.724650652115 10.4904516654831,123.726516831233 10.4915526553799,123.729129481998 10.4926536413587,123.729502717822 10.4933876298345,123.729005070057 10.4957119151842,123.729005070057 10.4980361830662,123.729005070057 10.4993818038546,123.729378305881 10.5009720754172,123.730746837234 10.5035409583507,123.733110664117 10.5043972479168,123.734354783529 10.5053758616582,123.733981547706 10.5084340096215,123.734354783529 10.510880506193,123.735847726824 10.5116144513853,123.737962729825 10.512103747211,123.74057538059 10.509779585134,123.741943911943 10.5070884282472,123.742441559708 10.5046419016427,123.743063619414 10.5025623387985,123.74368567912 10.5012167318546,123.743810091062 10.5004827619616,123.743934503003 10.5003604334767,123.744556562709 10.4988924878819,123.744556562709 10.4988924878819,123.747666861239 10.4939992855672)))",Pink area
"MULTIPOLYGON (((123.807509004964 10.4850689918251,123.806886945258 10.4867816708699,123.806886945258 10.487393339661,123.806762533316 10.4888613398275,123.806638121375 10.4902070005296,123.806016061669 10.4916749873488,123.805020766139 10.4932652985428,123.804647530316 10.4965682264364,123.804647530316 10.4996264615506,123.805269590022 10.5039079398838,123.807757828846 10.504764228433,123.808628712435 10.5019507000047,123.8091263602 10.4919196511415,123.809624007964 10.4930206358143,123.81223665873 10.4981585124708,123.814102837848 10.5004827619616,123.813978425907 10.4925313097768,123.818084019967 10.4948556015611,123.824055793145 10.4973022056224,123.823806969263 10.4952225934042,123.818084019967 10.4906963302432,123.816466664731 10.4882496739376,123.816591076672 10.4872710059995,123.821318730439 10.4861700008702,123.824180205087 10.4851913263568,123.821069906556 10.4827446265383,123.81534695726 10.4824999554931,123.812361070671 10.4824999554931,123.809748419906 10.4817659411976,123.807882240787 10.4794415511185,123.80614047361 10.478585192482,123.803901058669 10.478340518151,123.800168700432 10.4789522036161,123.800293112373 10.479930897848,123.80303017508 10.4807872527641,123.805020766139 10.482377619898,123.807011357199 10.4842126487495,123.807509004964 10.4850689918251)))",Pink area
"MULTIPOLYGON (((123.749035392593 10.3248918444294,123.748040097063 10.3225662857702,123.74567627018 10.3192615149439,123.743934503003 10.3175479164064,123.738833613413 10.3171807155059,123.736345374589 10.3170583151105,123.733235076058 10.3150999023114,123.731617720823 10.3124070648198,123.727512126763 10.3128966733495,123.721789177467 10.3131414773288,123.718181231171 10.3136310847165,123.716812699818 10.3176703166114,123.716315052053 10.3230558784957,123.718554466995 10.3281965561,123.719922998348 10.3295429101559,123.721789177467 10.3278293676295,123.721913589408 10.3246470495908,123.721913589408 10.3225662857702,123.721167117761 10.3208527052305,123.721664765526 10.3182823169222,123.724650652115 10.316079110234,123.726392419292 10.3152223034683,123.730373601411 10.3170583151105,123.731617720823 10.3186495165374,123.731866544705 10.3197511128122,123.73136889694 10.3214646993518,123.730000365587 10.322688684023,123.728507422292 10.3240350616607,123.728880658116 10.3270949894022,123.730373601411 10.3288085359311,123.732737428294 10.3292981189383,123.734852431294 10.3277069713774,123.735350079059 10.3248918444294,123.736096550706 10.3237902661552,123.737838317883 10.3233006745727,123.740077732825 10.3242798569756,123.74057538059 10.3244022545616,123.749035392593 10.3248918444294)))",Pink area
"MULTIPOLYGON (((123.792081924253 10.375193134708,123.789842509311 10.3780078102599,123.789842509311 10.3780078102599,123.791459864547 10.3784973164668,123.796436342196 10.3784973164668,123.801288407903 10.3781301868834,123.804523118375 10.3770287955484,123.808379888552 10.3756826453183,123.814600485613 10.3744588673567,123.821691966262 10.3729903274863,123.824055793145 10.37237843384,123.819825787144 10.3706651252675,123.815844605025 10.3706651252675,123.811614599024 10.3710322636081,123.807882240787 10.37237843384,123.805394001963 10.3736022199363,123.80402547061 10.3742141111902,123.802283703433 10.375193134708,123.800417524315 10.375193134708,123.794321339195 10.375193134708,123.792081924253 10.375193134708)))",Pink area
"MULTIPOLYGON (((123.811490187083 10.3935492582666,123.813605190083 10.3931821463596,123.813605190083 10.3931821463596,123.815844605025 10.3934268876789,123.816839900555 10.3946505913992,123.817710784143 10.3963637685532,123.820696670733 10.3984440424626,123.824304617028 10.4000348308061,123.828161387205 10.4013808761499,123.827788151382 10.3996677265232,123.826668443911 10.3973427227075,123.82654403197 10.3961190295352,123.825921972264 10.3947729615076,123.823806969263 10.3941611104863,123.822065202086 10.3928150340211,123.821816378204 10.3896333756845,123.821069906556 10.3871859241512,123.819701375203 10.3870635510715,123.81833284385 10.3871859241512,123.816715488614 10.3871859241512,123.814973721437 10.3859621911979,123.812485482612 10.3854726966752,123.811614599024 10.3859621911979,123.812734306495 10.387308297183,123.81323195426 10.3891438869112,123.811863422906 10.392325550232,123.811490187083 10.3935492582666)))",
"MULTIPOLYGON (((123.826792855852 10.4226720935571,123.833262276795 10.4242627583081,123.833262276795 10.4242627583081,123.834879632031 10.425363982992,123.83886081415 10.4258534149349,123.840478169386 10.424507475241,123.845827882858 10.4241403997695,123.848316121682 10.4227944526725,123.845827882858 10.4210814206829,123.842344348504 10.4192460188128,123.839607285797 10.4177776895325,123.838487578326 10.415819906397,123.836621399208 10.4131279345074,123.833386688737 10.4078662859792,123.832391393207 10.4073768257894,123.833262276795 10.409579390595,123.831271685736 10.4125161194725,123.829281094676 10.4128832086375,123.823558145381 10.4128832086375,123.817710784143 10.4125161194725,123.812983130377 10.4115372129196,123.807882240787 10.4108030309883,123.803901058669 10.4100688473284,123.799546640726 10.4123937563215,123.806389297493 10.4143515609754,123.812485482612 10.4150857345508,123.820696670733 10.4170435222979,123.829903154383 10.4170435222979,123.832266981266 10.4188789371414,123.829156682735 10.4213261401153,123.826792855852 10.4226720935571)))",Pink area
"MULTIPOLYGON (((123.959913632952 10.5064767984123,123.961157752364 10.5032963037532,123.961157752364 10.5029293214937,123.961033340423 10.5013390600006,123.961033340423 10.4992594749341,123.959913632952 10.4986478296051,123.958545101599 10.4987701587677,123.958047453834 10.4995041327268,123.95767421801 10.5010944036601,123.956430098598 10.5018283721008,123.955808038892 10.5032963037532,123.95667892248 10.5042749209812,123.958545101599 10.5046419016427,123.959913632952 10.5064767984123)))",Pink area
"MULTIPOLYGON (((123.967813791219 10.5042137574952,123.966569671807 10.5069049394239,123.966320847925 10.5082505215974,123.966196435983 10.5105746951814,123.967689379278 10.5121649091347,123.96992879422 10.5124095567083,123.971919385279 10.5127765277053,123.97204379722 10.5103300461541,123.971297325573 10.5092291231329,123.970550853926 10.5082505215974,123.970550853926 10.5082505215974,123.967813791219 10.5042137574952)))",Pink area
"MULTIPOLYGON (((123.976024979339 10.5136327916687,123.972292621103 10.5149783445273,123.972292621103 10.5165685357985,123.973536740515 10.5180363973924,123.974905271868 10.5192596100539,123.974532036045 10.5209720996335,123.971919385279 10.5228068993488,123.972790268868 10.5250086446007,123.974158800221 10.5251309633204,123.975402919633 10.5236631354811,123.976024979339 10.5224399402788,123.976522627104 10.5214613806246,123.977020274869 10.5206051383809,123.977269098752 10.5193819310534,123.976149391281 10.5174247892434,123.976024979339 10.5170578237722,123.976024979339 10.5136327916687)))",Pink area
"MULTIPOLYGON (((123.951391414979 10.5258648746203,123.95151582692 10.5245193692364,123.951391414979 10.5235408161792,123.949898471684 10.5228068993488,123.947783468684 10.5225622600173,123.947285820919 10.5239077739395,123.947285820919 10.5246416881502,123.947534644801 10.5254979191887,123.947534644801 10.5254979191887,123.951391414979 10.5258648746203)))",Pink area
"MULTIPOLYGON (((123.977020274869 10.4855583296619,123.978264394281 10.4864758360212,123.978264394281 10.4864758360212,123.978762042046 10.4858641654171,123.97913527787 10.484946657245,123.98019277937 10.4841514812963,123.981561310723 10.4837233087858,123.982929842077 10.4826222910398,123.983800725665 10.480359075602,123.98324087193 10.4801144026722,123.982432194312 10.4810930932318,123.980814839076 10.4820717806988,123.980068367429 10.4804814119944,123.981001456988 10.4785240239173,123.982183370429 10.4767501302895,123.982121164459 10.4757102568893,123.981436898782 10.4749150572287,123.979943955488 10.474609210662,123.977891158458 10.4747315493249,123.977331304722 10.4752820727102,123.980006161458 10.4761384404767,123.980130573399 10.4774229876888,123.979508513693 10.478340518151,123.978451012193 10.4790133720962,123.977020274869 10.4801144026722,123.973474534544 10.4784016867518,123.972354827074 10.476077271429,123.96992879422 10.4731411429406,123.968995704661 10.4727741249237,123.968746880778 10.4735081605229,123.968124821072 10.4748538879395,123.967751585249 10.4757714260094,123.967751585249 10.4764442855341,123.968871292719 10.4776676627444,123.971297325573 10.4793192143154,123.973412328574 10.4806037483386,123.97509188978 10.4817047732611,123.976336009192 10.4829281296953,123.976895862928 10.4845796532148,123.977020274869 10.4855583296619)))",Pink area
"MULTIPOLYGON (((123.954937155303 10.5242747312631,123.954812743362 10.5227457395342,123.954999361274 10.5220729807723,123.954501713509 10.5211555800961,123.953506417979 10.5199935353233,123.952200092597 10.5196877333399,123.951702444832 10.5200546956837,123.951702444832 10.52066629862,123.952200092597 10.5216448607962,123.952946564244 10.5218283408587,123.954315095597 10.5233573371353,123.954937155303 10.5242747312631)))",Pink area
"MULTIPOLYGON (((123.967627173307 10.5221341407204,123.96893349869 10.5209720996335,123.96893349869 10.5209720996335,123.969431146455 10.5202993370037,123.969120116602 10.5195042520044,123.968622468837 10.519443091535,123.968000409131 10.5196877333399,123.967627173307 10.5211555800961,123.967627173307 10.5221341407204)))",Pink area
"MULTIPOLYGON (((123.961095546394 10.48953417091,123.964454668806 10.4908186625507,123.964454668806 10.4910633270206,123.964703492689 10.4916749873488,123.96588540613 10.4925924755738,123.966942907631 10.4936322922727,123.968311438984 10.4935099610778,123.968622468837 10.4926536413587,123.968746880778 10.4914914893773,123.968684674808 10.490757496403,123.969306734514 10.4894730045084,123.969493352426 10.4888613398275,123.969431146455 10.4879438405394,123.968995704661 10.4870875054165,123.967813791219 10.4861700008702,123.966320847925 10.4854971624746,123.965449964336 10.4848243226166,123.964392462836 10.4836621412359,123.963272755365 10.4826834587951,123.961095546394 10.4802367391612,123.958856131452 10.479380382723,123.959042749364 10.4804202438043,123.959602603099 10.4815824373519,123.961842018041 10.4839679788643,123.962712901629 10.4855583296619,123.965449964336 10.4871486722896,123.965449964336 10.4878826738235,123.963957021042 10.48892250635,123.961530988188 10.4894118380947,123.961095546394 10.48953417091)))",Pink area
"MULTIPOLYGON (((123.772735867394 10.5072719169616,123.7712429241 10.5058040041954,123.769127921099 10.5031128126779,123.766764094216 10.5006662545983,123.765768798686 10.4996876259443,123.764027031509 10.4979750183458,123.762534088215 10.4956507500041,123.762160852391 10.4947944362116,123.759548201626 10.4946721054763,123.758428494155 10.4958954106522,123.757184374742 10.4951614281273,123.755567019507 10.4952837586691,123.753700840388 10.4955284196075,123.751959073211 10.4960177409036,123.751088189623 10.497730359343,123.7528299568 10.5006662545983,123.755193783683 10.5054370249141,123.756562315036 10.5070272653183,123.75693555086 10.5033574674207,123.75693555086 10.5023788472875,123.758428494155 10.5023788472875,123.760170261332 10.5061709830408,123.763778207627 10.5092291231329,123.764275855392 10.5073942427106,123.762782912097 10.504336084455,123.76303173598 10.5033574674207,123.764649091215 10.504336084455,123.766515270334 10.5067826134812,123.767634977805 10.5097184227379,123.767883801687 10.5116756134059,123.768879097217 10.5094737730323,123.768879097217 10.5081281961875,123.768505861393 10.5064156353623,123.767261741981 10.5036021219698,123.766266446451 10.5017672081306,123.766266446451 10.5017672081306,123.772735867394 10.5072719169616)))",Pink area
"MULTIPOLYGON (((123.729440511852 10.4195519198754,123.729440511852 10.4226109139813,123.731679926793 10.4244462960259,123.733794929794 10.4256698780465,123.733919341735 10.4286064552787,123.732177574558 10.4306865140587,123.729440511852 10.4319100715535,123.728445216322 10.4319100715535,123.723841974497 10.4330112691857,123.720980499849 10.4342348175398,123.723219914791 10.4366818998126,123.728942864087 10.4398630779863,123.735163461147 10.4419430615049,123.730062571558 10.4386395517703,123.728320804381 10.4357030692134,123.728694040204 10.4346018811078,123.731804338735 10.4346018811078,123.736034344736 10.4386395517703,123.738646995501 10.4399854303432,123.739144643266 10.4385171988839,123.735163461147 10.4349689442428,123.733670517853 10.4335006891047,123.734043753676 10.4315430048102,123.735909932795 10.4297076645996,123.737029640266 10.4294629517539,123.73951787909 10.4308088700247,123.741757294032 10.4331336242376,123.742379353738 10.4350912985248,123.742379353738 10.4371713139571,123.742503765679 10.4397407255814,123.742503765679 10.4421877645334,123.741259646267 10.4461029867928,123.741135234326 10.4487946734849,123.744121120915 10.4505075528751,123.745862888092 10.4512416411511,123.746360535857 10.4541779769051,123.745240828386 10.4545450169222,123.744867592562 10.4557684805124,123.74971965827 10.4595611870014,123.755318195624 10.4617633824049,123.753452016506 10.4585824284729,123.753452016506 10.4534438955693,123.753949664271 10.4505075528751,123.753576428447 10.4484276266727,123.750963777682 10.4479382302485,123.748351126916 10.4459806368437,123.747480243328 10.4420654130432,123.746858183622 10.4404748392891,123.745116416445 10.43925131548,123.744245532856 10.4377830805549,123.744245532856 10.4365595461561,123.744245532856 10.4344795266333,123.745116416445 10.4328889140857,123.747107007504 10.4325218484969,123.749595246328 10.4333783341972,123.751212601564 10.4376607273316,123.752332309035 10.439496020627,123.753576428447 10.43925131548,123.754447312036 10.4371713139571,123.7528299568 10.4353360069446,123.750466129917 10.4342348175398,123.74971965827 10.4294629517539,123.747977891093 10.4282393846394,123.74362347315 10.4286064552787,123.740388762678 10.4266487402013,123.740139938796 10.4237121445059,123.74051317462 10.4219991175631,123.740637586561 10.4210202407948,123.739020231325 10.4196742802163,123.736656404442 10.4195519198754,123.736158756677 10.4215096795635,123.736158756677 10.4217543986594,123.729440511852 10.4195519198754)))",Pink area
"MULTIPOLYGON (((123.83581272159 10.4302582677991,123.834257572325 10.4273217061477,123.834195366355 10.4272605274854,123.833822130531 10.4264652037817,123.833013452913 10.4257922359841,123.831893745442 10.425425162027,123.830463008118 10.4251804458151,123.828410211088 10.4243851167986,123.826357414058 10.4243239375594,123.827166091676 10.4254863410499,123.828161387206 10.4269546339936,123.828721240941 10.4282393846394,123.830214184236 10.4294629517539,123.833511100678 10.4302582677991,123.83581272159 10.4302582677991)))",Pink area
